priority,match_field,match_type,pattern,output_axis,axis_kind,axis_weight,notes
10,dataset_id,exact,adenine_sers_control,nucleic_acid,primary,1.0,Controlled adenine reference contributes to nucleic-acid-like support.
11,dataset_id,exact,adenine_sers_control,purine_like_metabolite,subclass,0.9,Adenine references also provide purine-like metabolite support in the refined ontology.
12,dataset_id,exact,adenine_sers_control,substrate_adsorption_bias,caveat,0.25,Structured SERS control also carries substrate sensitivity.
20,dataset_id,exact,amino_acid_raman_grounding,protein_peptide,primary,1.0,Free amino-acid Raman references support the protein/peptide axis.
21,dataset_id,exact,amino_acid_raman_grounding,amino_acid_like_small_molecule,subclass,0.45,Amino-acid library can weakly support a free-amino-acid small-molecule subclass.
30,dataset_id,exact,metabolite_sers63_support,small_molecule_metabolite,primary,1.0,Metabolite fingerprint archive supports the broad small-molecule axis.
40,dataset_id,exact,serum_ag_colloids_grounding,substrate_adsorption_bias,caveat,0.35,Ag-colloid fitting references remain substrate-sensitive.
50,source_key,exact,serum_ag_colloids::commercial_serum_merck,matrix_background,caveat,1.0,Commercial serum subset is matrix-background-only support.
60,source_key,exact,serum_ag_colloids::spiked_commercial_serum_merck,matrix_background,caveat,0.35,Spiked serum support retains a serum-background caveat.
100,compound_label,regex,(?i)\b(albumin|alb|ala|arginine|arg|cys|cysteine|glutamic|glut|gly|glycine|histidine|his|hydroxypro|ile|isoleucine|leu|leucine|methio|methionine|phe|phenylalanine|pro|proline|ser|serine|trp|tryptophan|tyr|tyrosine|val|valine)\b,protein_peptide,primary,1.0,Amino-acid or proteinaceous labels map to protein/peptide.
110,class_label,regex,(?i)\b(albumin|alb|ala|arginine|arg|cys|cysteine|glutamic|glut|gly|glycine|histidine|his|hydroxypro|ile|isoleucine|leu|leucine|methio|methionine|phe|phenylalanine|pro|proline|ser|serine|trp|tryptophan|tyr|tyrosine|val|valine)\b,protein_peptide,primary,1.0,Amino-acid or proteinaceous class labels map to protein/peptide.
120,compound_label,regex,(?i)\b(dna|rna|adenine|ade|guanine|gua|uracil|ura|thymine|thy)\b,nucleic_acid,primary,1.0,Nucleobases and nucleic-acid references map to the nucleic-acid axis.
130,class_label,regex,(?i)\b(dna|rna|adenine|ade|guanine|gua|uracil|ura|thymine|thy)\b,nucleic_acid,primary,1.0,Nucleobases and nucleic-acid labels map to the nucleic-acid axis.
140,compound_label,regex,(?i)\b(gluc|glucose|fruct|fructose|galact|mann|mannose|ribo|ribose|glycogen|nacdgluc|dfruct6p)\b,carbohydrate_glycan,primary,1.0,Sugar-like references map to carbohydrate/glycan.
150,class_label,regex,(?i)\b(gluc|glucose|fruct|fructose|galact|mann|mannose|ribo|ribose|glycogen|nacdgluc|dfruct6p)\b,carbohydrate_glycan,primary,1.0,Sugar-like labels map to carbohydrate/glycan.
160,compound_label,regex,(?i)\b(oleic|stearic|triolein|chol|phinositol|phospholipid|fatty)\b,lipid_membrane,primary,1.0,Lipid-like references map to lipid/membrane.
170,class_label,regex,(?i)\b(oleic|stearic|triolein|chol|phinositol|phospholipid|fatty)\b,lipid_membrane,primary,1.0,Lipid-like labels map to lipid/membrane.
180,compound_label,regex,(?i)\b(accoa|acetoacet|asco?rb|citric|coa|creat|ergo|ergothioneine|hypox|lact|pep|phosph|pyr|ua|uabound|uafree|urate|uric|xanth|xanthine)\b,small_molecule_metabolite,primary,1.0,Small-molecule metabolite references map to the metabolite axis.
190,class_label,regex,(?i)\b(accoa|acetoacet|asco?rb|citric|coa|creat|ergo|ergothioneine|hypox|lact|pep|phosph|pyr|ua|uabound|uafree|urate|uric|xanth|xanthine|bkg|erg|hyp)\b,small_molecule_metabolite,primary,1.0,Small-molecule metabolite labels map to the metabolite axis.
200,class_label,regex,(?i)\b(serummerck|serumsigma|serum|bkg)\b,matrix_background,caveat,1.0,Serum-only background labels contribute to the matrix-background caveat axis.
210,compound_label,regex,(?i)\b(serum)\b,matrix_background,caveat,1.0,Serum-labelled references contribute to the matrix-background caveat axis.
300,compound_label,regex,(?i)\b(adenine|3-methyladenine|3p5p[-_ ]?cyclic[-_ ]?amp|amp|guan|guanidine|methylguanidine|hypox|xanth|xanthine|uric|urate|pterin)\b,purine_like_metabolite,subclass,1.0,Purine-like subclass tracks nucleobase and closely related purine metabolite references.
310,class_label,regex,(?i)\b(adenine|3_methyladenine|3p5p_cyclic_amp|guan|guanidine|methylguanidine|hypox|xanth|xanthine|uric|urate|pterin)\b,purine_like_metabolite,subclass,1.0,Purine-like subclass for class labels.
320,compound_label,regex,(?i)\b(glutathione|cys-gly|cysteamine|cystathionine|cysteic[-_ ]?acid|cysteine|cystine|homocysteine|homocystine|methionine[-_ ]?sulfoximine|n-acetyl[-_ ]?l[-_ ]?cysteine|selenocystamine|selenomethionine|agmatine[-_ ]?sulfate|lipoamide)\b,sulfur_containing_metabolite,subclass,1.0,Sulfur-containing metabolite subclass is supported by sulfur-bearing compounds in the universal metabolite library.
330,class_label,regex,(?i)\b(cys_gly|cysteamine|l_cystathionine|l_cysteic_acid|l_cysteine|l_cystine|glutathione|homocysteine|homocystine|l_methionine_sulfoximine|n_acetyl_l_cysteine|selenocystamine|selenomethionine|agmatine_sulfate|lipoamide)\b,sulfur_containing_metabolite,subclass,1.0,Sulfur-containing metabolite subclass for class labels.
340,compound_label,regex,(?i)\b(quinoline|naphthylamine|methoxytyramine|caffeine|dopamine|indole|kynurenine|lumichrome|methylindole|nicotinamide|phenethylamine|riboflavin|tryptamine|tyramine|biliverdin)\b,aromatic_metabolite_like,subclass,1.0,Aromatic metabolite subclass captures aromatic-ring-containing small molecules in the universal library.
350,class_label,regex,(?i)\b(1_naphthylamine|2_quinolinecarboxylic_acid|3_methoxytyramine|caffeine|dopamine|indole_3_acetil_acid|kynurenine|lumichrome|methylindole_3_acetate|nicotinamide|phenethylamine|riboflavin|tryptamine|tyramine|biliverdin)\b,aromatic_metabolite_like,subclass,1.0,Aromatic metabolite subclass for class labels.
360,compound_label,regex,(?i)\b(malic[-_ ]?acid|mandelic[-_ ]?acid|imidazoleacetic[-_ ]?acid|5-oxo-l-proline|n-methyl-d-aspartic[-_ ]?acid|glutamic[-_ ]?acid|aspartic)\b,organic_acid_like,subclass,1.0,Organic-acid-like subclass captures small acids present in the universal libraries.
370,class_label,regex,(?i)\b(malic acid|mandelic_acid|4_imidazoleacetic_acid|5_oxo_l_proline|n_methyl_d_aspartic_acid|glutamic acid|asp)\b,organic_acid_like,subclass,1.0,Organic-acid-like subclass for class labels.
380,compound_label,regex,(?i)\b(arginine|asparagine|histidine|lysine|tryptophan|leucine|glycine|serine|valine|proline|phenylalanine|methionine|pipecolate|octopamine|histamine|spermidine)\b,amino_acid_like_small_molecule,subclass,0.9,Free amino-acid-like or biogenic-amine small molecules tracked as a separate metabolite subclass.
390,class_label,regex,(?i)\b(l_arginine|l_asparagine|l_histidine|l_lysine|l_tryptophan|leucine|gly|ser|valine|pro|phe|met|pipecolate|octopamine|histamine|spermidine)\b,amino_acid_like_small_molecule,subclass,0.9,Free amino-acid-like or biogenic-amine small molecules tracked at class-label level.
