dataset_id,subset_id,subset_alias,sample_type,target_family,default_inference_lane,allowed_inference_lanes,default_representation_mode,allowed_representation_modes,allowed_grounding_families,baseline_policy,notes
small2023_ev,fig3_norm_archive,small2023_cellline,extracellular vesicles,interpretation_target,absolute_bsv,absolute_bsv; differential_bsv,raw_direct,raw_direct; local_structural_embedding,universal_biochemical_grounding,none,Five-way cell-line target. Differential mode allowed later only for explicit class-vs-class or matched-neighborhood contrasts.
small2023_ev,normedprobe1,small2023_mixture_probe1,extracellular vesicles,interpretation_target,absolute_bsv,absolute_bsv; differential_bsv,raw_direct,raw_direct; local_structural_embedding,universal_biochemical_grounding,none,Probe1 mixture target. Keep probe-local geometry separate from Probe2.
small2023_ev,normedprobe2,small2023_mixture_probe2,extracellular vesicles,interpretation_target,absolute_bsv,absolute_bsv; differential_bsv,raw_direct,raw_direct; local_structural_embedding,universal_biochemical_grounding,none,Probe2 mixture target. Raw intensities are not directly comparable to Probe1.
shine_ev_sers,all,shine_ev_stress,extracellular vesicles,interpretation_target,differential_bsv,absolute_bsv; differential_bsv,raw_direct,raw_direct; local_structural_embedding,universal_biochemical_grounding,mean_background,Dose/day perturbation framing makes differential mode the default lane.
diabetes_plasma_ev_sers,all,diabetes_ev_state,extracellular vesicles,interpretation_target,differential_bsv,absolute_bsv; differential_bsv,raw_direct,raw_direct; local_structural_embedding,universal_biochemical_grounding,mean_background,Two-group EV state contrast is naturally differential even if absolute summaries are also useful.
cca_hcc_lm_serum_sers,all,cca_hcc_lm_serum,serum,interpretation_target,absolute_bsv,absolute_bsv; differential_bsv,raw_direct,raw_direct; local_structural_embedding,universal_biochemical_grounding; domain_specific_biochemical_grounding; domain_specific_caveat_support_grounding,none,"Primary serum cohort target. Differential mode should be explicit and comparator-defined, not assumed globally."
covid_serum_raman,all,covid_serum_cohort,serum,interpretation_target,absolute_bsv,absolute_bsv; differential_bsv,raw_direct,raw_direct; local_structural_embedding,universal_biochemical_grounding; domain_specific_biochemical_grounding; domain_specific_caveat_support_grounding,none,Serum Raman cohort target with modality caution.
cspp_serum,figure7_metabolite_spiking,cspp_metabolite_spike_validation,serum,validation_target,differential_bsv,absolute_bsv; differential_bsv,raw_direct,raw_direct; local_structural_embedding,universal_biochemical_grounding; domain_specific_biochemical_grounding; domain_specific_caveat_support_grounding,mean_background,Primary controlled perturbation validation panel for dBSV behavior.
serum_ag_colloids,uricase_serum_experiment,serum_ag_uricase_validation,serum,validation_target,differential_bsv,absolute_bsv; differential_bsv,raw_direct,raw_direct; local_structural_embedding,universal_biochemical_grounding; domain_specific_biochemical_grounding; domain_specific_caveat_support_grounding,nearest_background,Validation target for enzyme-linked purine perturbation under serum background.
ergothioneine_serum,ergothioneine_calibration_archive,serum_erg_calibration_validation,serum,validation_target,differential_bsv,absolute_bsv; differential_bsv,raw_direct,raw_direct; local_structural_embedding,universal_biochemical_grounding; domain_specific_biochemical_grounding; domain_specific_caveat_support_grounding,lowest_concentration_reference,Ordered concentration validation panel for sulfur-containing metabolite behavior.
serum_protocol_comparison,protocol_comparison_archive,serum_protocol_validation,serum,validation_target,differential_bsv,absolute_bsv; differential_bsv,raw_direct,raw_direct; local_structural_embedding,domain_specific_caveat_support_grounding,protocol_reference_p1,Use to test caveat behavior and protocol sensitivity rather than primary biology.
cspp_serum,figure2_processing_comparison,cspp_processing_validation,serum,validation_target,differential_bsv,absolute_bsv; differential_bsv,raw_direct,raw_direct; local_structural_embedding,domain_specific_caveat_support_grounding,processing_reference_standard,Processing nuisance validation panel.
cspp_serum,figure5_strip_variability,cspp_strip_variability_validation,serum,validation_target,absolute_bsv,absolute_bsv; differential_bsv,raw_direct,raw_direct; local_structural_embedding,domain_specific_caveat_support_grounding,none,Primary use is stability and nuisance inspection rather than biochemical discovery.
cspp_serum,figure6_shelf_life,cspp_shelf_life_validation,serum,validation_target,differential_bsv,absolute_bsv; differential_bsv,raw_direct,raw_direct; local_structural_embedding,domain_specific_caveat_support_grounding,time_zero_reference,Shelf-life drift validation panel.
serum_ag_colloids,donors_serum_sers,serum_ag_donor_validation,serum,validation_target,absolute_bsv,absolute_bsv; differential_bsv,raw_direct,raw_direct; local_structural_embedding,domain_specific_caveat_support_grounding,none,Healthy donor validation panel for reproducibility and local serum consistency checks.
