spectrum_id,molecule,true_class,source,lsm_ev,lsm_error,lsm_active,csm_ev,csm_active,csm_sparsity,csm_entropy,top1_molecule,top1_similarity,retrieval_margin,predicted_class,chem_margin,chem_entropy,confidence,chemistry_confidence,unknown_warning,outlier_warning,n_peaks,snr,all_scores_reconcile
ramanbiolib::189,(+)-arabinose,mono_oligosaccharide,RamanBioLib,0.9553636203164758,0.21127323465947961,12,0.9553636203164758,12,0.9657229496798265,0.20109363273544079,(+)-arabinose,0.9999999999977678,0.007228511876254284,mono_oligosaccharide,0.6836683248407808,0.3321366166387806,0.9553636203143432,0.9999974503660515,True,False,19,267.69719341716416,True
ramanbiolib::18,(+)-fucose,mono_oligosaccharide,RamanBioLib,0.6482979067143146,0.5930447649927733,10,0.6482979067143148,10,0.8551763393683469,0.43392740870023344,(+)-fucose,0.9999999999966181,0.0845868770799334,mono_oligosaccharide,0.6679426597459036,0.5462126821131822,0.6482979067121223,0.9999888115758929,False,False,32,129.34741482308354,True
ramanbiolib::19,(+)-galactosamine,mono_oligosaccharide,RamanBioLib,0.9046217498486073,0.30883369335501143,4,0.9046217498486074,4,0.9899468081142205,0.06866136215397768,(+)-galactosamine,0.9999999999978504,0.015570420609826163,mono_oligosaccharide,0.6988320041240866,0.23416962036551098,0.9046217498466629,0.9999995582668564,False,False,26,172.30309673312593,True
gobbato_raman_metabolites::Galact::01,(+)-galactose,mono_oligosaccharide,gobbato_raman_metabolites,0.5293334753827703,0.6860514008562032,16,0.5293334753827704,16,0.7070552472069849,0.5942841117535089,(+)-galactose,0.792936031475652,0.054846410752525276,mono_oligosaccharide,0.16975745280111865,0.7811232604954901,0.4197275852972287,0.8231968217706956,False,False,28,104.22751746067085,True
gobbato_raman_metabolites::Galact::02,(+)-galactose,mono_oligosaccharide,gobbato_raman_metabolites,0.9117907170495179,0.29700047634708243,11,0.9117907170495179,11,0.9370171241879565,0.2910807329794567,(+)-galactose,0.993715613864158,0.007641692833690539,mono_oligosaccharide,0.6123661549999575,0.49232473470881655,0.9060606721085024,0.9998792110538857,True,False,26,119.46353831002583,True
gobbato_raman_metabolites::Galact::03,(+)-galactose,mono_oligosaccharide,gobbato_raman_metabolites,0.9145057150301688,0.29239405768542187,10,0.9145057150301688,10,0.9427178766675056,0.27463425899971655,(+)-galactose,0.994227260483602,0.005800846145730398,mono_oligosaccharide,0.6162077341585931,0.4713335824781868,0.9092265117510423,0.99989963002407,True,False,29,117.05035469635251,True
ramanbiolib::179,(+)-galactose,mono_oligosaccharide,RamanBioLib,0.9111298791311774,0.29811092041173826,11,0.9111298791311774,11,0.9399780858156037,0.2834840072062739,(+)-galactose,0.9942017942565575,0.006176103196716687,mono_oligosaccharide,0.6097171433986751,0.4749136513355181,0.905846960632977,0.9998724869882535,True,False,30,123.21329669520091,True
amino_acid_raman::glucose,(+)-glucose,mono_oligosaccharide,amino_acid_raman_grounding,0.8604816310792094,0.3735215775837469,3,0.8604816310792094,3,0.9725602821478702,0.1126080038195011,β-d-glucose,0.9990118716952343,0.009628017595235683,mono_oligosaccharide,0.6749931693257828,0.39851071468768284,0.8596313648238091,0.9999955117092315,True,False,19,283.7976051993143,True
gobbato_raman_metabolites::Gluc::01,(+)-glucose,mono_oligosaccharide,gobbato_raman_metabolites,0.8951735346818142,0.32376915436477427,5,0.8951735346818142,5,0.9292395827925325,0.27137123884847447,(+)-glucose,0.9863149296238879,0.0018789313578643219,mono_oligosaccharide,0.5995289446233707,0.5403199345891554,0.8829230218608605,0.9997276111112063,True,False,25,168.8462371560429,True
gobbato_raman_metabolites::Gluc::02,(+)-glucose,mono_oligosaccharide,gobbato_raman_metabolites,0.9295274831114287,0.265466602209206,7,0.9295274831114287,7,0.944482853766001,0.23265797164573063,β-d-glucose,0.9950215372310983,0.00131404573547933,mono_oligosaccharide,0.6504872467305723,0.48575582693271585,0.9248998651440876,0.9999567676757741,True,False,29,175.20465798949462,True
